1. 	620 	Portal 2 	97,762 	1,185 	98.72% 	98.80%
2. 	427520 	Factorio 	24,069 	315 	98.54% 	98.71%
3. 	411960 	TY the Tasmanian Tiger 	1,314 	12 	98.30% 	99.10%
4. 	264200 	One Finger Death Punch 	11,986 	182 	98.24% 	98.50%
5. 	420530 	OneShot 	3,333 	49 	98.01% 	98.55%
6. 	341800 	Keep Talking and Nobody Explodes 	3,693 	57 	97.96% 	98.48%
7. 	424280 	Iron Snout 	10,410 	188 	97.91% 	98.23%
8. 	400 	Portal 	36,103 	720 	97.88% 	98.04%
9. 	344770 	fault - milestone two side:above 	906 	10 	97.83% 	98.91%
10. 	435400 	Hidden Folks 	1,617 	23 	97.78% 	98.60%
11. 	10 	Counter-Strike 	91,378 	1,998 	97.75% 	97.86%
12. 	400630 	Wuppo 	368 	2 	97.72% 	99.46%
13. 	400910 	Rabi-Ribi 	4,077 	78 	97.59% 	98.12%
14. 	433950 	Bit Blaster XL 	3,725 	71 	97.57% 	98.13%
15. 	238460 	BattleBlock Theater 	38,403 	901 	97.53% 	97.71%
16. 	250900 	The Binding of Isaac: Rebirth 	55,866 	1,363 	97.47% 	97.62%
17. 	351640 	Eternal Senia 	7,950 	174 	97.47% 	97.86%
18. 	450390 	The Lab 	1,829 	32 	97.46% 	98.28%
19. 	436820 	Waltz of the Wizard 	714 	9 	97.44% 	98.76%
20. 	425580 	The Room Two 	3,467 	70 	97.42% 	98.02%
21. 	388210 	Day of the Tentacle Remastered 	1,705 	30 	97.42% 	98.27%
22. 	471710 	Rec Room 	1,434 	24 	97.42% 	98.35%
23. 	219150 	Hotline Miami 	36,789 	911 	97.40% 	97.58%
24. 	250320 	The Wolf Among Us 	18,274 	443 	97.37% 	97.63%
25. 	292030 	The Witcher 3: Wild Hunt 	99,455 	2,578 	97.36% 	97.47%
26. 	412830 	STEINS;GATE 	1,260 	21 	97.36% 	98.36%
27. 	213670 	South Park™: The Stick of Truth™ 	30,228 	754 	97.36% 	97.57%
28. 	214560 	Mark of the Ninja 	12,769 	314 	97.28% 	97.60%
29. 	511470 	Glass Masquerade 	306 	2 	97.27% 	99.35%
30. 	294100 	RimWorld 	14,229 	356 	97.26% 	97.56%
31. 	324160 	CLANNAD 	1,150 	20 	97.21% 	98.29%
32. 	420110 	NEKOPARA Vol. 2 	6,821 	165 	97.20% 	97.64%
33. 	602520 	NEKOPARA Vol. 3 	3,620 	81 	97.20% 	97.81%
34. 	206190 	Gunpoint 	9,402 	239 	97.14% 	97.52%
35. 	227000 	Primordia 	1,360 	26 	97.12% 	98.12%
36. 	48700 	Mount & Blade: Warband 	56,114 	1,577 	97.11% 	97.27%
37. 	227300 	Euro Truck Simulator 2 	98,741 	2,830 	97.10% 	97.21%
38. 	623080 	planetarian HD 	438 	5 	97.08% 	98.87%
39. 	413150 	Stardew Valley 	60,451 	1,738 	97.05% 	97.21%
40. 	219740 	Don't Starve 	51,231 	1,465 	97.05% 	97.22%
41. 	247080 	Crypt of the NecroDancer 	9,690 	256 	97.05% 	97.43%
42. 	327140 	Tilt Brush 	616 	9 	97.04% 	98.56%
43. 	205100 	Dishonored 	33,204 	945 	97.03% 	97.23%
44. 	413420 	Danganronpa 2: Goodbye Despair 	2,347 	53 	97.01% 	97.79%
45. 	367580 	Hook 	4,874 	124 	96.98% 	97.52%
46. 	368340 	CrossCode 	1,979 	44 	96.97% 	97.83%
47. 	105600 	Terraria 	180,998 	5,483 	96.97% 	97.06%
48. 	13230 	Unreal Tournament 2004 	1,661 	36 	96.94% 	97.88%
49. 	312990 	The Expendabros 	13,008 	365 	96.94% 	97.27%
50. 	220 	Half-Life 2 	47,501 	1,421 	96.92% 	97.10%
51. 	413410 	Danganronpa: Trigger Happy Havoc 	3,038 	75 	96.89% 	97.59%
52. 	206440 	To the Moon 	32,853 	986 	96.87% 	97.09%
53. 	407900 	Princess Remedy in a World of Hurt 	1,762 	40 	96.86% 	97.78%
54. 	32150 	Everyday Genius: SquareLogic 	264 	2 	96.85% 	99.25%
55. 	550 	Left 4 Dead 2 	179,643 	5,662 	96.85% 	96.94%
56. 	447530 	VA-11 Hall-A: Cyberpunk Bartender Action 	4,288 	113 	96.84% 	97.43%
57. 	542770 	Castle Must Be Mine 	154 	0 	96.84% 	100%
58. 	552280 	tayutama 2 -you're the only one- 	729 	13 	96.80% 	98.25%
59. 	212680 	FTL: Faster Than Light 	36,003 	1,118 	96.78% 	96.99%
60. 	316720 	planetarian ~the reverie of a little planet~ 	1,213 	26 	96.78% 	97.90%
61. 	207610 	The Walking Dead 	33,976 	1,063 	96.75% 	96.97%
62. 	220200 	Kerbal Space Program 	39,242 	1,244 	96.73% 	96.93%
63. 	107100 	Bastion 	22,840 	709 	96.73% 	96.99%
64. 	221640 	Super Hexagon 	18,353 	565 	96.72% 	97.01%
65. 	3590 	Plants vs. Zombies: Game of the Year 	9,144 	275 	96.67% 	97.08%
66. 	418240 	Shadow Tactics: Blades of the Shogun 	3,577 	98 	96.67% 	97.33%
67. 	555220 	Detention 	3,695 	102 	96.66% 	97.31%
68. 	333640 	Caves of Qud 	732 	14 	96.65% 	98.12%
69. 	49520 	Borderlands 2 	106,699 	3,574 	96.64% 	96.76%
70. 	499440 	klocki 	2,500 	66 	96.63% 	97.43%
71. 	18500 	Defense Grid: The Awakening 	2,931 	80 	96.60% 	97.34%
72. 	274190 	Broforce 	23,444 	761 	96.59% 	96.86%
73. 	231160 	The Swapper 	4,894 	145 	96.55% 	97.12%
74. 	102600 	Orcs Must Die! 	4,856 	144 	96.54% 	97.12%
75. 	339350 	Choice of Robots 	1,488 	37 	96.52% 	97.57%
76. 	9420 	Supreme Commander: Forged Alliance 	3,636 	105 	96.52% 	97.19%
77. 	559210 	Rakuen 	325 	4 	96.52% 	98.78%
